Symbol,Price,MarketCap,ShareOutstanding,EPS,FactorZScore
AAPL,151.01,2389273,15822,6.199,-0.38
MSFT,263.1,1958465,7444,9.934,-0.64
GOOGL,94.57,563259,5956,5.649,-0.87
AMZN,97.61,1000235,10247,2.727,-1.28
BRK/B,309.89,403471,1302,15.222,0.4
TSLA,196.89,622980,3164,4.165,-1.38
NVDA,212.65,523119,2460,3.826,-1.3
XOM,119.17,490777,4118,10.451,3.27
V,227.2,369190,1625,8.662,0.21
UNH,494.25,461802,934,24.776,0.53
META,174.15,387617,2226,11.745,-2.08
JNJ,162.15,423939,2614,10.512,0.41
JPM,141.04,413699,2933,12.857,-0.17
WMT,143.72,387584,2697,6.345,0.41
MA,366.83,347755,948,12.194,0.17
LLY,345.12,327925,950,8.362,1.43
CVX,171.97,326915,1901,15.362,2.32
PG,138.26,326175,2359,6.089,-0.05
HD,316.54,322613,1019,16.594,-0.52
BAC,35.58,284525,7997,3.402,-0.29
MRK,108.57,275268,2535,6.981,1.82
ABBV,152.05,268898,1768,11.15,1
KO,59.62,257827,4325,2.505,0.54
AVGO,593.25,247911,418,40.496,-0.35
PFE,43.88,246312,5613,3.47,-0.25
PEP,176.2,242672,1377,7.239,0.49
ORCL,87.14,234951,2696,5.182,0.07
TMO,571.41,224104,392,23.622,-0.38
COST,499.99,221860,444,14.659,0.02
DIS,108.06,197405,1827,4.36,-1.1
CSCO,47.26,194149,4108,3.603,-0.49
MCD,262.42,192203,732,10.523,0.32
NKE,122.23,152258,1246,3.436,-0.99
ABT,108.16,188585,1744,4.395,-0.6
DHR,258.84,188513,728,10.034,-0.4
ACN,283.96,186956,658,11.592,-0.74
WFC,47.51,182144,3834,4.743,0.26
TMUS,143.7,177320,1234,6.844,1.24
ADBE,370.99,169839,458,15.281,-1.18
VZ,40.01,168037,4200,4.683,-0.55
CRM,167.03,167030,1000,5.604,-1.11
MS,98.44,166374,1690,7.151,0.11
LIN,332.04,163442,492,13.332,0.12
CMCSA,38.36,161366,4207,3.619,-0.7
UPS,185.22,135177,730,11.489,-0.12
TXN,175.79,159302,906,7.587,0.12
PM,102.36,158682,1550,6.203,0.5
NFLX,347.36,154696,445,11.606,-1.53
BMY,72.2,153509,2126,8.029,1.31
SCHW,80.46,146103,1816,4.417,0.15
NEE,74.74,148521,1987,3.02,-0.08
RTX,100.61,147389,1465,4.999,0.78
QCOM,128.99,143824,1115,10.058,-0.84
COP,115.06,143373,1246,10.977,2.9
T,19.07,135931,7128,2.405,0.55
HON,200.47,133942,668,9.058,0.43
AXP,179.25,133397,744,11.095,0.09
AMD,81.48,131375,1612,3.131,-1.42
GS,371.28,124348,335,33.438,0.3
AMGN,242.5,129489,534,18.019,1.26
CAT,247.67,128890,520,15.728,0.77
BA,212.89,127359,598,0.95,-0.21
LOW,208.78,126250,605,13.872,-0.39
UNP,205.5,125740,612,11.532,-0.25
DE,417.79,124149,297,28.1,1.21
SBUX,107.09,123079,1149,3.588,-0.19
LMT,480.83,122755,255,26.923,1.57
IBM,135.6,122600,904,9.408,0.77
PLD,128.09,118237,923,2.959,-0.82
ELV,490.78,117212,239,32.719,0.73
SPGI,363.86,117163,322,12.516,-0.68
INTU,413.52,116168,281,13.98,-1.08
CVS,89.66,115133,1284,8.851,0.21
INTC,27.8,115009,4137,0.413,-1.19
MDT,83.69,111323,1330,5.406,-0.58
BLK,723.51,108668,150,34.485,-0.52
GILD,86.7,108743,1254,6.801,1.06
AMT,216.72,100906,466,4.451,-0.62
SYK,264.34,100140,379,10.023,-0.23
C,50.11,97063,1937,5.808,-0.4
AMAT,114.77,96760,843,6.656,-0.85
ADP,225.82,93569,414,8.507,0.48
NOW,458.36,93047,203,9.185,-1.07
TJX,80.25,92729,1156,3.409,0.43
PYPL,80.8,91415,1131,4.888,-1.85
BKNG,2348.37,91092,39,117.683,-0.29
ADI,178.46,90889,509,9.677,0.15
EL,250.24,57975,232,6.276,-1.06
MDLZ,65.5,89297,1363,3.158,0.31
CB,214.69,89107,415,18.122,0.7
CI,296.51,88560,299,24.736,1.74
GE,81.29,88548,1089,1.936,-0.13
ISRG,245.27,85940,350,5.291,-0.68
MMC,172.05,85338,496,7.549,0.21
MO,47.24,84349,1786,5.04,0.32
REGN,757.61,81449,108,41.455,0.84
PGR,138.73,81143,585,6.532,1.19
SLB,56.36,80042,1420,3.026,2.75
EOG,134.14,78792,587,13.539,2.6
TGT,170.02,78262,460,8.114,-0.74
